"goal_id","player_id","is_plus"
"113","23","1"
"113","25","1"
"113","33","0"
"113","40","0"
"113","44","0"
"113","78","1"
"113","119","1"
"113","129","1"
"113","146","0"
"113","152","0"
"114","23","0"
"114","25","0"
"114","34","1"
"114","36","1"
"114","42","1"
"114","44","1"
"114","79","0"
"114","87","1"
"114","90","0"
"115","20","0"
"115","21","0"
"115","24","0"
"115","34","1"
"115","36","1"
"115","42","1"
"115","44","1"
"115","79","0"
"115","87","1"
"116","23","0"
"116","24","0"
"116","25","0"
"116","35","1"
"116","44","1"
"116","86","1"
"117","27","1"
"117","38","0"
"117","40","0"
"117","45","0"
"117","86","0"
"117","87","0"
"117","156","1"
"117","158","1"
"117","159","1"
"117","162","1"
"118","31","1"
"118","35","0"
"118","37","0"
"118","44","0"
"118","45","0"
"118","98","1"
"118","152","0"
"118","159","1"
"118","161","1"
"118","162","1"
"119","30","0"
"119","31","0"
"119","34","1"
"119","36","1"
"119","42","1"
"119","44","1"
"119","84","0"
"119","87","1"
"119","163","0"
"120","31","0"
"120","34","1"
"120","36","1"
"120","38","1"
"120","40","1"
"120","83","0"
"120","87","1"
"120","98","0"
"120","99","0"
"120","161","0"
"121","31","1"
"121","33","0"
"121","38","0"
"121","42","0"
"121","83","1"
"121","86","0"
"121","87","0"
"121","98","1"
"121","99","1"
"121","161","1"
"122","20","0"
"122","23","0"
"122","51","1"
"122","53","1"
"122","56","1"
"122","57","1"
"122","90","0"
"122","115","0"
"122","129","0"
"122","138","1"
"123","1","0"
"123","11","0"
"123","12","0"
"123","13","0"
"123","18","0"
"123","65","1"
"123","68","1"
"123","71","1"
"123","72","1"
"123","89","1"
"124","20","0"
"124","24","0"
"124","49","1"
"124","60","1"
"124","63","1"
"124","88","1"
"124","90","0"
"124","105","0"
"124","141","1"
"125","20","1"
"125","21","1"
"125","24","1"
"125","49","0"
"125","50","0"
"125","52","0"
"125","78","1"
"125","88","0"
"125","115","1"
"126","2","1"
"126","5","1"
"126","8","1"
"126","13","1"
"126","15","1"
"126","66","0"
"126","68","0"
"126","74","0"
"126","75","0"
"126","100","0"
"127","23","1"
"127","24","1"
"127","25","1"
"127","51","0"
"127","53","0"
"127","56","0"
"127","57","0"
"127","79","1"
"127","138","0"
"128","5","1"
"128","8","1"
"128","12","1"
"128","13","1"
"128","15","1"
"128","65","0"
"128","68","0"
"128","72","0"
"128","73","0"
"128","74","0"
"129","2","0"
"129","4","0"
"129","9","0"
"129","14","0"
"129","65","1"
"129","72","1"
"129","89","1"
"129","133","1"
"129","165","1"
"129","167","0"
"130","2","1"
"130","8","1"
"130","13","1"
"130","15","1"
"130","66","0"
"130","68","0"
"130","74","0"
"130","75","0"
"130","100","0"
"130","167","1"
"131","25","1"
"131","60","0"
"131","63","0"
"131","78","1"
"131","88","0"
"131","104","1"
"132","5","0"
"132","18","0"
"132","35","1"
"132","45","1"
"132","46","1"
"132","86","1"
"132","109","0"
"132","110","0"
"132","150","1"
"132","167","0"
"133","1","0"
"133","11","0"
"133","12","0"
"133","16","0"
"133","34","1"
"133","36","1"
"133","38","1"
"133","40","1"
"133","46","1"
"134","5","0"
"134","7","0"
"134","9","0"
"134","35","1"
"134","44","1"
"134","45","1"
"134","86","1"
"134","109","0"
"134","110","0"
"134","150","1"
"135","2","1"
"135","8","1"
"135","13","1"
"135","15","1"
"135","37","0"
"135","38","0"
"135","39","0"
"135","42","0"
"135","87","0"
"135","167","1"
"136","2","0"
"136","5","0"
"136","8","0"
"136","13","0"
"136","15","0"
"136","35","1"
"136","44","1"
"136","45","1"
"136","86","1"
"136","109","0"
"136","152","1"
"137","26","1"
"137","67","0"
"137","68","0"
"137","81","1"
"137","101","0"
"137","126","0"
"137","128","0"
"137","157","1"
"137","159","1"
"137","163","1"
"138","29","0"
"138","66","1"
"138","67","1"
"138","71","1"
"138","72","1"
"138","75","1"
"138","81","0"
"138","157","0"
"138","159","0"
"138","163","0"
"139","26","1"
"139","31","1"
"139","68","0"
