"shooter_id","goalie_id","game_id","is_goal","is_gamewinninggoal","shootout_attempt","id"
"229","6","269","1","0","7","273"
"229","6","269","0","0","8","274"
"231","22","117","1","0","1","275"
"231","123","130","0","0","1","276"
"231","6","139","0","0","1","277"
"231","6","179","0","0","1","278"
"240","6","237","0","0","2","279"
"240","6","251","1","0","1","280"
"241","6","237","0","0","4","282"
"245","6","269","0","0","1","283"
"245","6","269","0","0","4","284"
"246","222","237","1","0","2","285"
"246","222","237","0","0","6","286"
"246","238","251","0","0","1","287"
"246","155","259","0","0","4","288"
"246","228","269","0","0","3","289"
"259","222","237","0","0","4","290"
"280","6","269","1","0","3","292"
"280","6","269","0","0","5","293"
"313","28","227","0","0","5","294"
"313","155","245","0","0","1","295"
"317","28","227","0","0","1","296"
"240","6","273","0","0","1","390"
"1","222","273","0","0","1","391"
"88","6","273","0","0","2","392"
"15","222","273","0","0","2","393"
"58","6","273","1","0","3","394"
"78","222","273","0","0","3","395"
"72","6","273","0","0","4","396"
"15","222","273","1","0","4","397"
"58","6","273","0","0","5","398"
"1","222","273","1","1","5","399"
"100","48","276","0","0","1","400"
"31","211","276","0","0","1","401"
"63","48","276","1","0","2","402"
"42","211","276","1","0","2","403"
"86","48","276","1","0","3","404"
"274","211","276","1","0","3","405"
"63","48","276","0","0","4","406"
"31","211","276","1","0","4","407"
"66","48","276","1","0","5","408"
"42","211","276","0","0","5","409"
"86","48","276","0","0","6","410"
"31","211","276","1","1","6","411"
"203","228","308","0","0","1","412"
"205","155","308","1","0","1","413"
"34","228","308","1","0","2","414"
"249","155","308","0","0","2","415"
"13","228","308","0","0","3","416"
"280","155","308","0","0","3","417"
"224","228","308","0","0","4","418"
"229","155","308","1","1","4","419"
"34","228","308","0","0","5","420"
"34","28","326","0","0","1","886"
"42","155","326","1","0","1","887"
"210","28","326","0","0","2","888"
"31","155","326","0","0","2","889"
"13","28","326","1","0","3","890"
"274","155","326","0","0","3","891"
"34","28","326","0","0","4","892"
"42","155","326","0","0","4","893"
"62","28","326","0","0","5","894"
"31","155","326","0","0","5","895"
"13","28","326","0","0","6","896"
"201","155","326","1","1","6","897"
