"goal_id","player_id","primary_secondary"
"764","67","2"
"764","89","1"
"765","13","1"
"765","18","2"
"766","228","1"
"767","5","2"
"767","15","1"
"769","183","1"
"770","102","2"
"770","169","1"
"771","11","1"
"771","24","2"
"772","188","2"
"772","195","1"
"773","79","1"
"773","189","2"
"774","63","2"
"774","209","1"
"775","63","1"
"775","89","2"
"776","56","1"
"776","63","2"
"777","40","1"
"777","205","2"
"778","67","2"
"778","89","1"
"779","1","2"
"779","16","1"
"780","118","1"
"781","161","1"
"781","224","2"
"782","53","1"
"782","60","2"
"784","53","1"
"785","26","2"
"785","31","1"
"786","62","2"
"786","220","1"
"788","195","1"
"789","56","1"
"789","65","2"
"790","56","2"
"790","61","1"
"791","44","1"
"792","2","2"
"792","167","1"
"793","42","1"
"794","13","1"
"794","15","2"
"795","56","2"
"795","76","1"
"796","31","2"
"796","32","1"
"797","196","1"
"797","203","2"
"798","138","1"
"799","53","2"
"799","220","1"
"800","35","1"
"800","37","2"
"801","219","1"
"801","224","2"
"802","36","1"
"804","58","1"
"804","62","2"
"805","57","1"
"805","219","2"
"805","220","2"
"806","34","1"
"806","205","2"
"807","59","2"
"807","223","1"
"808","32","2"
"808","198","1"
"810","49","2"
"810","78","1"
"812","31","2"
"812","196","1"
"813","83","2"
"813","198","1"
"814","115","1"
"814","189","2"
"816","13","1"
"816","183","2"
"817","78","2"
"817","183","1"
"818","15","1"
"819","36","2"
"819","42","1"
"820","18","2"
"820","149","1"
"821","15","1"
"821","183","2"
"823","67","2"
"823","210","1"
"824","89","2"
"824","209","1"
"825","63","1"
"825","208","2"
"826","63","2"
"826","67","1"
"827","32","1"
"827","203","2"
"828","104","1"
"828","195","2"
"829","11","1"
"829","25","2"
"830","20","1"
"831","195","1"
"832","189","1"
"833","32","1"
"833","203","2"
"834","26","1"
"834","199","2"
"835","27","2"
"835","49","1"
"836","27","2"
"836","49","1"
"837","32","1"
"838","169","1"
"839","63","1"
"839","210","2"
"840","24","2"
"840","189","1"
"841","57","1"
"841","60","2"
"842","142","1"
"843","11","1"
"843","102","2"
"844","21","1"
"844","192","2"
"845","52","2"
"845","223","1"
"846","87","1"
"846","206","2"
"847","201","1"
"848","40","1"
"848","47","2"
"849","83","1"
"849","114","2"
"851","34","1"
"851","42","2"
"852","13","1"
"852","183","2"
"853","4","2"
"853","223","1"
"854","1","2"
"854","2","1"
"855","149","1"
"856","13","1"
"858","50","2"
"858","125","1"
"859","11","1"
"859","192","2"
"860","36","1"
"860","42","2"
"861","205","1"
"861","207","2"
"862","38","1"
"862","207","2"
"863","47","1"
"864","78","2"
"864","167","1"
"865","116","2"
"865","201","1"
"866","13","1"
"867","51","1"
"867","84","2"
"870","100","2"
"870","200","1"
"871","44","1"
"871","87","2"
"872","57","1"
"872","60","2"
"873","87","1"
"873","227","2"
"874","60","2"
"874","62","1"
"876","87","1"
"877","4","1"
"877","58","2"
"878","57","1"
"879","61","2"
"879","76","1"
"880","73","2"
"880","75","1"
"881","196","1"
"881","198","2"
"883","57","2"
"883","220","1"
"884","71","2"
"884","161","1"
"885","38","1"
"885","42","2"
"886","36","2"
"886","44","1"
"887","9","2"
"887","38","1"
"889","34","1"
"890","47","1"
"891","15","1"
"891","78","2"
"892","32","1"
"894","68","1"
"895","76","2"
"895","200","1"
"896","30","1"
"897","25","1"
"897","192","2"
"898","65","1"
"898","212","2"
"899","15","2"
"899","78","1"
"900","89","1"
"902","32","1"
"903","31","2"
"903","196","1"
"905","4","1"
"905","60","2"
"906","57","2"
"906","58","1"
"907","20","1"
"907","115","2"
"908","104","2"
"908","195","1"
"909","23","1"
"909","192","2"
"910","24","2"
"910","169","1"
"911","73","1"
"911","212","2"
"913","115","1"
"913","192","2"
"914","227","1"
"915","62","2"
"915","221","1"
"916","223","1"
"917","217","1"
"918","62","1"
"918","224","2"
"919","4","1"
"919","71","2"
"920","4","2"
"920","161","1"
"921","32","1"
"921","198","2"
