"name","name","shooter_id","goalie_id","game_id","period","time","is_goal","x_location","y_location","type","quality"
"Jessica Digirolamo","Boston Fleet","5","155","32","2","00:14:16","0","143","84","Default","Quality on net"
"Jessica Digirolamo","Boston Fleet","5","155","32","4","00:02:04","0","77","118","Default","Quality on net"
"Jessica Digirolamo","Boston Fleet","5","22","38","3","00:03:34","0","527","172","Wrist","Quality on net"
"Jessica Digirolamo","Boston Fleet","5","64","45","3","00:11:21","0","525","164","Default","Quality on net"
"Jessica Digirolamo","Boston Fleet","5","41","48","2","00:08:27","0","192","246","Default","Non quality on net"
"Jessica Digirolamo","Boston Fleet","5","41","48","2","00:15:22","0","130","99","Default","Quality on net"
"Jessica Digirolamo","Boston Fleet","5","155","56","3","00:11:07","0","409","51","Wrist","Non quality on net"
"Jessica Digirolamo","Boston Fleet","5","64","57","2","00:13:11","0","75","186","Default","Quality on net"
"Jessica Digirolamo","Boston Fleet","5","28","64","3","00:18:33","0","170","229","Default","Non quality on net"
"Jessica Digirolamo","Boston Fleet","5","59","69","3","00:16:56","0","490","17","Snap","Non quality on net"
"Jessica Digirolamo","Boston Fleet","5","22","70","1","00:10:39","0","518","242","Wrist","Non quality on net"
"Jessica Digirolamo","Boston Fleet","5","22","70","2","00:01:04","0","457","74","Default","Quality on net"
"Jessica Digirolamo","Boston Fleet","5","22","70","3","00:11:16","0","419","31","Wrist","Non quality on net"
"Jessica Digirolamo","Boston Fleet","5","59","83","2","00:01:12","0","214","278","Default","Non quality on net"
"Kaleigh Fratkin","Boston Fleet","7","123","23","1","00:05:35","1","202","242","Default","Non quality goal"
"Kaleigh Fratkin","Boston Fleet","7","123","23","2","00:18:27","0","181","78","Default","Non quality on net"
"Kaleigh Fratkin","Boston Fleet","7","59","34","3","00:08:20","0","198","86","Default","Non quality on net"
"Kaleigh Fratkin","Boston Fleet","7","85","42","3","00:12:22","0","441","285","Wrist","Non quality on net"
"Kaleigh Fratkin","Boston Fleet","7","41","48","1","00:16:01","0","157","62","Default","Non quality on net"
"Kaleigh Fratkin","Boston Fleet","7","70","52","1","00:00:11","0","322","237","Default","Non quality on net"
"Kaleigh Fratkin","Boston Fleet","7","64","57","1","00:12:50","0","184","159","Default","Non quality on net"
"Kaleigh Fratkin","Boston Fleet","7","28","64","2","00:09:17","0","193","183","Default","Non quality on net"
"Kaleigh Fratkin","Boston Fleet","7","28","64","3","00:18:40","1","195","68","Default","Non quality goal"
"Kaleigh Fratkin","Boston Fleet","7","22","70","1","00:06:49","0","195","30","Backhand","Non quality on net"
"Kaleigh Fratkin","Boston Fleet","7","22","70","1","00:08:30","0","442","234","Wrist","Non quality on net"
"Loren Gabel","Boston Fleet","8","22","4","1","00:05:22","0","103","157","Default","Quality on net"
"Loren Gabel","Boston Fleet","8","22","4","1","00:18:40","0","98","103","Default","Quality on net"
"Loren Gabel","Boston Fleet","8","22","4","2","00:00:46","0","82","130","Default","Quality on net"
